date,sun_h,min_temp,max_temp,delta_temp
1986-08-27,2.0448717948717947,11.553333333333333,16.633333333333333,5.08
1986-08-28,0.7512820512820514,8.433333333333334,14.346666666666666,5.913333333333332
1986-08-29,4.825641025641025,6.933333333333334,15.76666666666667,8.833333333333336
1986-08-30,5.751282051282051,7.466666666666667,16.786666666666665,9.319999999999999
1986-08-31,9.417948717948718,8.326666666666668,17.733333333333334,9.406666666666666
1986-09-01,8.253846153846153,7.053333333333334,18.38,11.326666666666664
1986-09-02,7.825641025641025,10.286666666666665,20.573333333333334,10.286666666666669
1986-09-03,8.214102564102564,9.540000000000001,23.36,13.819999999999999
1986-09-04,7.8589743589743595,9.28,17.720000000000002,8.440000000000003
1986-09-05,10.932051282051281,6.713333333333333,19.680000000000003,12.96666666666667
1986-09-06,10.620512820512822,9.24,23.32,14.08
1986-09-07,9.274358974358973,11.16,21.973333333333333,10.813333333333333
1986-09-08,9.505128205128205,9.84,21.59333333333333,11.75333333333333
1986-09-09,0.38333333333333336,11.126666666666667,16.44666666666667,5.320000000000002
1986-09-10,6.008974358974359,9.559999999999999,18.21333333333333,8.653333333333332
1986-09-11,7.28974358974359,8.093333333333334,19.126666666666665,11.033333333333331
1986-09-12,2.6025641025641026,10.433333333333334,20.899999999999995,10.466666666666661
1986-09-13,2.8064102564102567,13.313333333333334,22.18,8.866666666666665
1986-09-14,1.2615384615384615,13.6,20.92666666666667,7.32666666666667
1986-09-15,6.060256410256411,13.613333333333335,25.059999999999995,11.44666666666666
1986-09-16,6.467948717948718,16.14,25.899999999999995,9.759999999999994
1986-09-17,1.737179487179487,14.673333333333336,21.740000000000002,7.066666666666666
1986-09-18,2.1423076923076922,12.093333333333332,19.52,7.426666666666668
1986-09-19,0.5807692307692308,10.113333333333333,13.733333333333333,3.619999999999999
1986-09-20,1.0166666666666666,10.56,15.753333333333332,5.193333333333332
1986-09-21,6.817948717948719,10.073333333333332,18.586666666666666,8.513333333333334
1986-09-22,8.826923076923077,8.906666666666666,19.71333333333333,10.806666666666665
1986-09-23,7.919230769230769,8.18,19.453333333333333,11.273333333333333
1986-09-24,1.0576923076923077,10.366666666666667,17.21333333333333,6.846666666666664
1986-09-25,0.13846153846153847,11.360000000000001,15.206666666666669,3.8466666666666676
1986-09-26,1.3269230769230769,9.273333333333335,14.553333333333333,5.279999999999998
1986-09-27,6.106410256410256,7.733333333333333,16.506666666666668,8.773333333333333
1986-09-28,8.333333333333334,6.746666666666667,17.22666666666667,10.480000000000004
1986-09-29,9.614102564102563,6.2733333333333325,17.553333333333335,11.280000000000001
1986-09-30,8.224358974358974,6.92,18.206666666666667,11.286666666666667
1986-10-01,8.055128205128206,7.6000000000000005,19.9,12.299999999999997
1986-10-02,9.462820512820512,8.153333333333332,21.933333333333334,13.780000000000001
1986-10-03,9.78076923076923,8.566666666666666,21.253333333333334,12.686666666666667
1986-10-04,9.193589743589744,9.266666666666667,21.26,11.993333333333334
1986-10-05,8.556410256410256,9.986666666666666,21.173333333333336,11.18666666666667
1986-10-06,8.143589743589745,10.213333333333333,21.433333333333334,11.22
1986-10-07,5.55,10.693333333333335,19.813333333333333,9.119999999999997
1986-10-08,5.926923076923077,10.2,18.826666666666668,8.626666666666669
1986-10-09,2.441025641025641,8.379999999999999,15.053333333333333,6.673333333333334
1986-10-10,5.403846153846154,8.673333333333336,17.386666666666667,8.713333333333331
1986-10-11,3.8474358974358975,9.240000000000002,18.366666666666664,9.126666666666662
1986-10-12,3.0653846153846156,9.62,16.113333333333333,6.493333333333334
1986-10-13,5.2525641025641026,9.346666666666668,18.833333333333332,9.486666666666665
1986-10-14,8.015384615384615,8.693333333333332,19.88,11.186666666666667
1986-10-15,7.22948717948718,8.56,19.220000000000002,10.660000000000002
